VoterID,BirthYear,LAST4SSN,DriverLicCard,FirstName,LastName,Gender,ResStreetAddress,ResCityDesc,ResState,ResZip5,ResCountyDesc,PartyDesc,Potential Fraud
Voter-ID-216,B-Year-7,SSN-3098,DL-845,FN-36,LN-3004,Gender-3,Address-1815,City-56,State-1,Zip-126,County-23,Party-4,0
Voter-ID-4244,B-Year-77,SSN-2820,DL-743,FN-1299,LN-1131,Gender-2,Address-3829,City-111,State-1,Zip-184,County-34,Party-3,0
Voter-ID-420,B-Year-18,SSN-1304,DL-1804,FN-94,LN-1787,Gender-2,Address-2832,City-165,State-1,Zip-14,County-6,Party-4,0
Voter-ID-1943,B-Year-16,SSN-1455,DL-1692,FN-1219,LN-1797,Gender-3,Address-1238,City-39,State-1,Zip-165,County-11,Party-3,0
Voter-ID-3137,B-Year-61,SSN-2840,DL-2286,FN-1129,LN-1559,Gender-3,Address-321,City-185,State-1,Zip-67,County-34,Party-3,0
Voter-ID-2571,B-Year-4,SSN-385,DL-2243,FN-1416,LN-1508,Gender-2,Address-1596,City-138,State-1,Zip-77,County-34,Party-4,0
Voter-ID-3159,B-Year-74,SSN-3421,DL-1426,FN-1350,LN-2577,Gender-3,Address-3619,City-47,State-1,Zip-124,County-34,Party-3,0
Voter-ID-612,B-Year-46,SSN-326,DL-1051,FN-848,LN-101,Gender-2,Address-2124,City-203,State-1,Zip-63,County-34,Party-3,0
Voter-ID-873,B-Year-52,SSN-1729,DL-1305,FN-1740,LN-707,Gender-2,Address-1705,City-56,State-1,Zip-60,County-22,Party-4,0
Voter-ID-3565,B-Year-15,SSN-743,DL-3359,FN-1558,LN-2143,Gender-3,Address-813,City-56,State-1,Zip-59,County-34,Party-4,0
Voter-ID-3015,B-Year-45,SSN-1728,DL-1982,FN-231,LN-843,Gender-3,Address-2544,City-12,State-1,Zip-149,County-35,Party-4,0
Voter-ID-2657,B-Year-63,SSN-3448,DL-388,FN-1532,LN-266,Gender-3,Address-1592,City-69,State-1,Zip-210,County-43,Party-4,0
Voter-ID-1677,B-Year-39,SSN-1040,DL-3680,FN-1406,LN-2246,Gender-3,Address-2936,City-193,State-1,Zip-44,County-34,Party-4,0
Voter-ID-2731,B-Year-65,SSN-2511,DL-4293,FN-1520,LN-543,Gender-2,Address-962,City-144,State-1,Zip-55,County-8,Party-4,0
Voter-ID-987,B-Year-33,SSN-1751,DL-3406,FN-1132,LN-502,Gender-3,Address-1279,City-229,State-1,Zip-62,County-16,Party-3,0
Voter-ID-802,B-Year-16,SSN-901,DL-1644,FN-78,LN-2874,Gender-3,Address-1437,City-52,State-1,Zip-167,County-4,Party-4,0
Voter-ID-4181,B-Year-65,SSN-793,DL-2624,FN-173,LN-2620,Gender-3,Address-3352,City-1,State-1,Zip-102,County-43,Party-4,0
Voter-ID-67,B-Year-58,SSN-1409,DL-2739,FN-21,LN-1814,Gender-3,Address-608,City-5,State-1,Zip-163,County-34,Party-5,0
Voter-ID-1383,B-Year-47,SSN-2281,DL-3832,FN-1188,LN-380,Gender-1,Address-3362,City-132,State-1,Zip-159,County-14,Party-3,0
Voter-ID-2178,B-Year-23,SSN-1107,DL-2348,FN-787,LN-1833,Gender-3,Address-3869,City-111,State-1,Zip-81,County-19,Party-4,0
Voter-ID-2951,B-Year-84,SSN-1555,DL-2306,FN-1579,LN-862,Gender-3,Address-37,City-153,State-1,Zip-97,County-25,Party-5,0
Voter-ID-949,B-Year-57,SSN-215,DL-3032,FN-875,LN-369,Gender-3,Address-1512,City-133,State-1,Zip-52,County-34,Party-4,0
Voter-ID-2083,B-Year-63,SSN-1762,DL-1110,FN-1290,LN-893,Gender-3,Address-1402,City-64,State-1,Zip-159,County-8,Party-3,0
Voter-ID-1238,B-Year-53,SSN-2291,DL-81,FN-532,LN-2730,Gender-2,Address-3713,City-165,State-1,Zip-102,County-43,Party-4,0
Voter-ID-143,B-Year-80,SSN-3275,DL-1062,FN-1279,LN-3114,Gender-2,Address-256,City-33,State-1,Zip-163,County-34,Party-4,0
Voter-ID-3378,B-Year-67,SSN-1612,DL-21,FN-1634,LN-1913,Gender-2,Address-856,City-193,State-1,Zip-81,County-8,Party-4,0
Voter-ID-3719,B-Year-83,SSN-1991,DL-3107,FN-247,LN-2365,Gender-2,Address-94,City-33,State-1,Zip-210,County-34,Party-4,1
Voter-ID-3323,B-Year-4,SSN-1878,DL-4329,FN-1366,LN-1242,Gender-2,Address-3018,City-111,State-1,Zip-24,County-34,Party-3,0
Voter-ID-2925,B-Year-1,SSN-3455,DL-3610,FN-1729,LN-1203,Gender-3,Address-865,City-120,State-1,Zip-34,County-35,Party-4,0
Voter-ID-2088,B-Year-52,SSN-2656,DL-991,FN-1623,LN-2432,Gender-3,Address-751,City-151,State-1,Zip-103,County-21,Party-3,0
Voter-ID-2421,B-Year-76,SSN-2423,DL-4223,FN-1117,LN-2498,Gender-3,Address-2254,City-161,State-1,Zip-81,County-31,Party-5,0
Voter-ID-786,B-Year-40,SSN-749,DL-773,FN-129,LN-136,Gender-2,Address-4126,City-188,State-1,Zip-156,County-22,Party-4,0
Voter-ID-1832,B-Year-60,SSN-3197,DL-1477,FN-970,LN-1294,Gender-3,Address-695,City-193,State-1,Zip-102,County-8,Party-5,1
Voter-ID-1679,B-Year-54,SSN-2153,DL-363,FN-706,LN-3393,Gender-3,Address-2974,City-64,State-1,Zip-159,County-39,Party-4,0
Voter-ID-3253,B-Year-46,SSN-1260,DL-383,FN-734,LN-3263,Gender-3,Address-3424,City-144,State-1,Zip-94,County-8,Party-4,0
Voter-ID-1037,B-Year-74,SSN-2930,DL-2477,FN-205,LN-2611,Gender-2,Address-2426,City-120,State-1,Zip-187,County-39,Party-4,0
Voter-ID-3256,B-Year-85,SSN-3146,DL-300,FN-354,LN-864,Gender-2,Address-3951,City-193,State-1,Zip-102,County-22,Party-4,0
Voter-ID-4081,B-Year-72,SSN-751,DL-2428,FN-930,LN-118,Gender-2,Address-4014,City-185,State-1,Zip-199,County-10,Party-4,0
Voter-ID-3456,B-Year-66,SSN-2471,DL-2164,FN-149,LN-1521,Gender-2,Address-2615,City-196,State-1,Zip-115,County-34,Party-4,0
Voter-ID-1746,B-Year-4,SSN-1624,DL-970,FN-864,LN-2666,Gender-3,Address-837,City-200,State-1,Zip-38,County-23,Party-2,1
Voter-ID-3022,B-Year-31,SSN-908,DL-1969,FN-1368,LN-1220,Gender-2,Address-3692,City-33,State-1,Zip-80,County-34,Party-4,0
Voter-ID-351,B-Year-29,SSN-3366,DL-1754,FN-787,LN-3103,Gender-3,Address-2726,City-91,State-1,Zip-177,County-13,Party-4,0
Voter-ID-4179,B-Year-12,SSN-3445,DL-1997,FN-553,LN-2141,Gender-3,Address-3366,City-209,State-1,Zip-186,County-34,Party-4,0
Voter-ID-4147,B-Year-1,SSN-397,DL-1828,FN-787,LN-1287,Gender-3,Address-2331,City-91,State-1,Zip-167,County-43,Party-4,0
Voter-ID-407,B-Year-42,SSN-971,DL-3553,FN-1683,LN-2391,Gender-2,Address-3308,City-33,State-1,Zip-45,County-8,Party-4,0
Voter-ID-1061,B-Year-57,SSN-1861,DL-2168,FN-716,LN-240,Gender-3,Address-2003,City-193,State-1,Zip-81,County-34,Party-4,0
Voter-ID-3625,B-Year-83,SSN-615,DL-3835,FN-939,LN-2460,Gender-2,Address-2772,City-88,State-1,Zip-121,County-31,Party-4,0
Voter-ID-1956,B-Year-59,SSN-2062,DL-3694,FN-1244,LN-1919,Gender-3,Address-2871,City-56,State-1,Zip-158,County-8,Party-4,0
Voter-ID-768,B-Year-46,SSN-3338,DL-943,FN-359,LN-3408,Gender-2,Address-2515,City-111,State-1,Zip-199,County-43,Party-3,1
Voter-ID-3970,B-Year-83,SSN-2995,DL-997,FN-21,LN-1063,Gender-3,Address-1420,City-125,State-1,Zip-103,County-8,Party-4,0
Voter-ID-3732,B-Year-29,SSN-706,DL-2451,FN-1047,LN-2814,Gender-3,Address-712,City-229,State-1,Zip-66,County-17,Party-5,0
Voter-ID-4335,B-Year-49,SSN-1740,DL-2316,FN-742,LN-2156,Gender-2,Address-1455,City-12,State-1,Zip-156,County-8,Party-4,0
Voter-ID-2884,B-Year-21,SSN-1061,DL-260,FN-1430,LN-371,Gender-2,Address-2834,City-56,State-1,Zip-102,County-34,Party-4,0
Voter-ID-3058,B-Year-62,SSN-796,DL-2691,FN-615,LN-388,Gender-2,Address-281,City-150,State-1,Zip-47,County-27,Party-4,0
Voter-ID-3226,B-Year-55,SSN-2011,DL-1495,FN-301,LN-947,Gender-2,Address-29,City-144,State-1,Zip-27,County-18,Party-3,1
Voter-ID-1911,B-Year-6,SSN-2107,DL-1701,FN-681,LN-3065,Gender-3,Address-4050,City-56,State-1,Zip-165,County-35,Party-3,0
Voter-ID-1550,B-Year-36,SSN-3265,DL-2152,FN-82,LN-56,Gender-3,Address-3923,City-118,State-1,Zip-83,County-4,Party-3,0
Voter-ID-2448,B-Year-60,SSN-2340,DL-2118,FN-1290,LN-2597,Gender-3,Address-4231,City-125,State-1,Zip-11,County-17,Party-3,0
Voter-ID-2400,B-Year-72,SSN-3224,DL-3278,FN-1139,LN-1882,Gender-3,Address-1919,City-153,State-1,Zip-81,County-34,Party-5,0
Voter-ID-4107,B-Year-71,SSN-1403,DL-2238,FN-1091,LN-3153,Gender-2,Address-3067,City-39,State-1,Zip-102,County-34,Party-3,0
Voter-ID-3787,B-Year-61,SSN-973,DL-2899,FN-1037,LN-914,Gender-2,Address-53,City-91,State-1,Zip-79,County-22,Party-4,0
Voter-ID-2365,B-Year-31,SSN-1793,DL-2912,FN-236,LN-2345,Gender-2,Address-806,City-39,State-1,Zip-47,County-4,Party-3,0
Voter-ID-3741,B-Year-56,SSN-1371,DL-729,FN-1382,LN-1824,Gender-2,Address-3719,City-41,State-1,Zip-177,County-33,Party-4,0
Voter-ID-3013,B-Year-36,SSN-2325,DL-1894,FN-584,LN-3195,Gender-3,Address-2451,City-91,State-1,Zip-116,County-6,Party-3,0
Voter-ID-2871,B-Year-15,SSN-2324,DL-3348,FN-729,LN-514,Gender-2,Address-4065,City-56,State-1,Zip-52,County-22,Party-4,0
Voter-ID-3576,B-Year-59,SSN-1105,DL-2380,FN-1667,LN-333,Gender-2,Address-618,City-225,State-1,Zip-154,County-23,Party-4,0
Voter-ID-2985,B-Year-77,SSN-222,DL-487,FN-817,LN-1183,Gender-3,Address-2759,City-165,State-1,Zip-199,County-34,Party-5,0
